source,target,conf,realConf
AgencyID,prospect_AgeID,0,1
AgencyID,prospect_AdL1,0,0
AgencyID,prospect_Ge,0,0
AgencyID,prospect_MidIn,0,0
AgencyID,prospect_Pho,0,0
AgencyID,prospect_In,0,0
AgencyID,prospect_NWo,0,0
AgencyID,prospect_C,0,0
AgencyID,prospect_FiN,0,0
AgencyID,prospect_PosC,0,0
AgencyID,prospect_Empl,0,0
AgencyID,prospect_NumChil,0,0
AgencyID,prospect_MaSta,0,0
AgencyID,prospect_Ag,0,0
AgencyID,prospect_CrRa,0,0
AgencyID,prospect_OOReFl,0,0
AgencyID,prospect_NumCreCa,0,0
AddressLine1,prospect_AgeID,0,0
AddressLine1,prospect_AdL1,0,1
AddressLine1,prospect_Ge,0,0
AddressLine1,prospect_MidIn,0,0
AddressLine1,prospect_Pho,0,0
AddressLine1,prospect_In,0,0
AddressLine1,prospect_NWo,0,0
AddressLine1,prospect_C,0,0
AddressLine1,prospect_FiN,0,0
AddressLine1,prospect_PosC,0,0
AddressLine1,prospect_Empl,0,0
AddressLine1,prospect_NumChil,0,0
AddressLine1,prospect_MaSta,0,0
AddressLine1,prospect_Ag,0,0
AddressLine1,prospect_CrRa,0,0
AddressLine1,prospect_OOReFl,0,0
AddressLine1,prospect_NumCreCa,0,0
Gender,prospect_AgeID,0,0
Gender,prospect_AdL1,0,0
Gender,prospect_Ge,0.9971652513727761,1
Gender,prospect_MidIn,0,0
Gender,prospect_Pho,0,0
Gender,prospect_In,0,0
Gender,prospect_NWo,0,0
Gender,prospect_C,0,0
Gender,prospect_FiN,0,0
Gender,prospect_PosC,0,0
Gender,prospect_Empl,0,0
Gender,prospect_NumChil,0,0
Gender,prospect_MaSta,0,0
Gender,prospect_Ag,0,0
Gender,prospect_CrRa,0,0
Gender,prospect_OOReFl,0,0
Gender,prospect_NumCreCa,0,0
MiddleInitial,prospect_AgeID,0,0
MiddleInitial,prospect_AdL1,0,0
MiddleInitial,prospect_Ge,0,0
MiddleInitial,prospect_MidIn,0.99129074443586,1
MiddleInitial,prospect_Pho,0,0
MiddleInitial,prospect_In,0,0
MiddleInitial,prospect_NWo,0,0
MiddleInitial,prospect_C,0,0
MiddleInitial,prospect_FiN,0,0
MiddleInitial,prospect_PosC,0,0
MiddleInitial,prospect_Empl,0,0
MiddleInitial,prospect_NumChil,0,0
MiddleInitial,prospect_MaSta,0.9075205475959044,0
MiddleInitial,prospect_Ag,0,0
MiddleInitial,prospect_CrRa,0,0
MiddleInitial,prospect_OOReFl,0.8419473064115977,0
