source,target,conf,realConf
AgencyID,AgencyID,0.13573436590566118,1
AgencyID,AddressLine1,0.07673297313388264,0
AgencyID,FirstName,0.06136286241182267,0
AgencyID,MaritalStatus,0.05144666194597754,0
AgencyID,NetWorth,0.06138806333477737,0
AgencyID,OwnOrRentFlag,0.06750146270020299,0
AgencyID,State,0.0644140010166981,0
AgencyID,NumberChildren,0.06617713742339576,0
AgencyID,Country,0.07392338300189318,0
AgencyID,PostalCode,0.060811962385942386,0
AgencyID,NumberCreditCards,0.0575951166565916,0
AgencyID,Phone,0.0644140010166981,0
AgencyID,Income,0.07493430147115508,0
AgencyID,NumberCars,0.060217400779781764,0
AgencyID,Age,0.09682721159055345,0
AgencyID,CreditRating,0.06770964113175364,0
AgencyID,Employer,0.06198262494093799,0
AddressLine1,AgencyID,0.07673297313388264,0
AddressLine1,AddressLine1,0.13573436590566118,1
AddressLine1,FirstName,0.07552886307731571,0
AddressLine1,MaritalStatus,0.06493269457952693,0
AddressLine1,NetWorth,0.05928087073578527,0
AddressLine1,OwnOrRentFlag,0.07167571089630162,0
AddressLine1,State,0.06136286241182267,0
AddressLine1,NumberChildren,0.07678677848125802,0
AddressLine1,Country,0.06031905183647055,0
AddressLine1,PostalCode,0.06677169902955638,0
AddressLine1,NumberCreditCards,0.06829093564182041,0
AddressLine1,Phone,0.0712790628776678,0
AddressLine1,Income,0.0695827012197466,0
AddressLine1,NumberCars,0.06617713742339576,0
AddressLine1,Age,0.07332882139573255,0
AddressLine1,CreditRating,0.07894800165971146,0
AddressLine1,Employer,0.059875432341945894,0
FirstName,AgencyID,0.06136286241182267,0
FirstName,AddressLine1,0.07552886307731571,0
FirstName,FirstName,0.13573436590566118,1
FirstName,MaritalStatus,0.0744342175713458,0
FirstName,NetWorth,0.07068450127150717,0
FirstName,OwnOrRentFlag,0.0744342175713458,0
FirstName,State,0.0875699636429848,0
FirstName,NumberChildren,0.07284019702495177,0
FirstName,Country,0.06198262494093799,0
FirstName,PostalCode,0.0869362215079496,0
FirstName,NumberCreditCards,0.07030310894589775,0
FirstName,Phone,0.06348776251164663,0
FirstName,Income,0.07332882139573255,0
FirstName,NumberCars,0.07746927001129594,0
FirstName,Age,0.06490005099976419,0
FirstName,CreditRating,0.07493430147115508,0
FirstName,Employer,0.0712790628776678,0
MaritalStatus,AgencyID,0.05144666194597754,0
MaritalStatus,AddressLine1,0.06493269457952693,0
MaritalStatus,FirstName,0.0744342175713458,0
MaritalStatus,MaritalStatus,0.13573436590566118,1
MaritalStatus,NetWorth,0.06690690109404238,0
MaritalStatus,OwnOrRentFlag,0.07738134008741865,0
MaritalStatus,State,0.08890786370583692,0
MaritalStatus,NumberChildren,0.0695827012197466,0
MaritalStatus,Country,0.059875432341945894,0
MaritalStatus,PostalCode,0.0734347586311124,0
MaritalStatus,NumberCreditCards,0.07894800165971146,0
MaritalStatus,Phone,0.05144666194597754,0
MaritalStatus,Income,0.05085210033981692,0
MaritalStatus,NumberCars,0.07284019702495177,0
MaritalStatus,Age,0.05085210033981692,0
MaritalStatus,CreditRating,0.08456718192369037,0
MaritalStatus,Employer,0.059474062323090264,0
NetWorth,AgencyID,0.0610029909079598,0
NetWorth,AddressLine1,0.058895798308967705,0
NetWorth,FirstName,0.07029942884468961,0
NetWorth,MaritalStatus,0.0665218286672248,0
NetWorth,NetWorth,0.13559948026935342,1
NetWorth,OwnOrRentFlag,0.0665218286672248,0
NetWorth,State,0.07640170605444045,0
NetWorth,NumberChildren,0.08196185047682751,0
NetWorth,Country,0.07294374896891498,0
NetWorth,PostalCode,0.06919762879292904,0
NetWorth,NumberCreditCards,0.07828384157676857,0
