sourceName,targName,ComaInstResult,ComaInstAdjusted,ComaOptResult,ComaOptAdjusted,CupidResult,CupidAdjusted,DistributionBasedResult,DistributionBasedAdjusted,JaccardLevenMatcherResult,JaccardLevenMatcherAdjusted,SimilarityFloodingResult,SimilarityFloodingAdjusted,SmatResult,groundtruth
AgencyID,prospect_AgeID,0.20731695,0.0,0.25265267,0.0,0.8129230769230771,1.0,0.0,0.0,0.5,0.0,0.0691654497986846,0.0,0,1
AgencyID,prospect_LaNa,0.0,0.0,0.0,0.0,0.7341538461538462,1.0,0.0,0.0,0.5,0.0,0.0515604330091868,0.0,0,0
AgencyID,prospect_FirNa,0.0,0.0,0.0,0.0,0.5772014652014652,1.0,0.0,0.0,0.5,0.0,0.0509832193439573,0.0,0,0
AgencyID,prospect_MidIn,0.0,0.0,0.0,0.0,0.6028205128205129,1.0,0.0,0.0,0.0034708316646642,0.0,0.0570439628288664,0.0,0,0
AgencyID,prospect_Ge,0.0,0.0,0.0,0.0,0.6417094017094018,1.0,0.0,0.0,0.0026698705112802,0.0,0.0528971383391918,0.0,0,0
AgencyID,prospect_AddLi1,0.0,0.0,0.0,0.0,0.6215505279034691,1.0,0.0,0.0,0.4727005740221599,1.0,0.0504561981713565,0.0,0,0
AgencyID,prospect_AdLi2,0.0,0.0,0.0,0.0,0.6148278388278389,1.0,0.0,0.0,0.4749699639567481,0.0,0.0509832193439573,0.0,0,0
AgencyID,prospect_PosCo,0.0,0.0,0.0,0.0,0.684923076923077,1.0,0.0,0.0,0.4776398344680283,0.0,0.0509832193439573,0.0,0,0
AgencyID,prospect_Ci,0.0,0.0,0.0,0.0,0.6143589743589744,1.0,0.0,0.0,0.0181551194767053,0.0,0.0528971383391918,0.0,0,0
AgencyID,prospect_St,0.0,0.0,0.0,0.0,0.5528205128205128,1.0,0.0,0.0,0.0040715525297023,0.0,0.0528971383391918,0.0,0,0
AgencyID,prospect_Coun,0.0,0.0,0.0,0.0,0.5928205128205128,1.0,0.0,0.0,0.000133493525564,0.0,0.0515604330091868,0.0,0,0
AgencyID,prospect_Ph,0.0,0.0,0.0,0.0,0.6528205128205129,1.0,0.0,0.0,0.4747697236684021,1.0,0.0528971383391918,0.0,0,0
AgencyID,prospect_In,0.0,0.0,0.0,0.0,0.0333333333333333,1.0,0.0,0.0,0.4705646776131357,0.0,0.0595060687323106,0.0,0,0
AgencyID,prospect_NumC,0.0,0.0,0.0,0.0,0.0333333333333333,1.0,0.0,0.0,0.000400480576692,0.0,0.0511516604197793,0.0,0,0
AgencyID,prospect_NuChi,0.0,0.0,0.0,0.0,0.0333333333333333,1.0,0.0,0.0,0.000400480576692,0.0,0.0505744467545499,0.0,0,0
