,instance,candName,targName,conf,realConf,pair
0,"1, Match",https://subs.timeinc.net/TD/tdmgm_hardoffer0406.jhtml?experience_id=130439&source_id=15,https://store.primediamags.com/subscribe/surfermag/210/I6ABON,0.0,0.0,https://subs.timeinc.net/TD/tdmgm_hardoffer0406.jhtml?experience_id=130439&source_id=15<->https://store.primediamags.com/subscribe/surfermag/210/I6ABON
1,"1, Match",https://subs.timeinc.net/TD/tdmgm_hardoffer0406.jhtml?experience_id=130439&source_id=15,offer_form,0.0,0.0,https://subs.timeinc.net/TD/tdmgm_hardoffer0406.jhtml?experience_id=130439&source_id=15<->offer_form
2,"1, Match",https://subs.timeinc.net/TD/tdmgm_hardoffer0406.jhtml?experience_id=130439&source_id=15,redir,0.0,0.0,https://subs.timeinc.net/TD/tdmgm_hardoffer0406.jhtml?experience_id=130439&source_id=15<->redir
3,"1, Match",https://subs.timeinc.net/TD/tdmgm_hardoffer0406.jhtml?experience_id=130439&source_id=15,showAdd,0.0,0.0,https://subs.timeinc.net/TD/tdmgm_hardoffer0406.jhtml?experience_id=130439&source_id=15<->showAdd
4,"1, Match",https://subs.timeinc.net/TD/tdmgm_hardoffer0406.jhtml?experience_id=130439&source_id=15,source_code,0.0,0.0,https://subs.timeinc.net/TD/tdmgm_hardoffer0406.jhtml?experience_id=130439&source_id=15<->source_code
5,"1, Match",https://subs.timeinc.net/TD/tdmgm_hardoffer0406.jhtml?experience_id=130439&source_id=15,offer_id,0.0,0.0,https://subs.timeinc.net/TD/tdmgm_hardoffer0406.jhtml?experience_id=130439&source_id=15<->offer_id
6,"1, Match",https://subs.timeinc.net/TD/tdmgm_hardoffer0406.jhtml?experience_id=130439&source_id=15,site_id,0.0,0.0,https://subs.timeinc.net/TD/tdmgm_hardoffer0406.jhtml?experience_id=130439&source_id=15<->site_id
7,"1, Match",https://subs.timeinc.net/TD/tdmgm_hardoffer0406.jhtml?experience_id=130439&source_id=15,intl,0.0,0.0,https://subs.timeinc.net/TD/tdmgm_hardoffer0406.jhtml?experience_id=130439&source_id=15<->intl
8,"1, Match",https://subs.timeinc.net/TD/tdmgm_hardoffer0406.jhtml?experience_id=130439&source_id=15,sweep_id,0.0,0.0,https://subs.timeinc.net/TD/tdmgm_hardoffer0406.jhtml?experience_id=130439&source_id=15<->sweep_id
9,"1, Match",https://subs.timeinc.net/TD/tdmgm_hardoffer0406.jhtml?experience_id=130439&source_id=15,fulfillment_house,0.0,0.0,https://subs.timeinc.net/TD/tdmgm_hardoffer0406.jhtml?experience_id=130439&source_id=15<->fulfillment_house
