,instance,candName,targName,conf,realConf
0,"1, comaInst",AgencyID,AgencyID,0.7407465,1
1,"1, comaInst",AgencyID,MiddleInitial,0.0,0
2,"1, comaInst",AgencyID,AddressLine1,0.0,0
3,"1, comaInst",AgencyID,MaritalStatus,0.0,0
4,"1, comaInst",AgencyID,NetWorth,0.0,0
5,"1, comaInst",AgencyID,LastName,0.0,0
6,"1, comaInst",AgencyID,FirstName,0.0,0
7,"1, comaInst",AgencyID,Employer,0.0,0
8,"1, comaInst",AgencyID,Age,0.0,0
9,"1, comaInst",AgencyID,NumberChildren,0.0,0
10,"1, comaInst",AgencyID,PostalCode,0.0,0
11,"1, comaInst",AgencyID,Gender,0.0,0
12,"1, comaInst",AgencyID,Income,0.0,0
13,"1, comaInst",AgencyID,AddressLine2,0.0,0
14,"1, comaInst",AgencyID,Country,0.0,0
15,"1, comaInst",AgencyID,NumberCars,0.0,0
16,"1, comaInst",AgencyID,CreditRating,0.0,0
17,"1, comaInst",AgencyID,OwnOrRentFlag,0.0,0
18,"1, comaInst",AgencyID,NumberCreditCards,0.0,0
19,"1, comaInst",MiddleInitial,AgencyID,0.0,0
20,"1, comaInst",MiddleInitial,MiddleInitial,0.9401412,1
21,"1, comaInst",MiddleInitial,AddressLine1,0.0,0
22,"1, comaInst",MiddleInitial,MaritalStatus,0.0,0
23,"1, comaInst",MiddleInitial,NetWorth,0.0,0
24,"1, comaInst",MiddleInitial,LastName,0.0,0
25,"1, comaInst",MiddleInitial,FirstName,0.0,0
26,"1, comaInst",MiddleInitial,Employer,0.0,0
27,"1, comaInst",MiddleInitial,Age,0.0,0
28,"1, comaInst",MiddleInitial,NumberChildren,0.0,0
29,"1, comaInst",MiddleInitial,PostalCode,0.0,0
30,"1, comaInst",MiddleInitial,Gender,0.0,0
31,"1, comaInst",MiddleInitial,Income,0.0,0
32,"1, comaInst",MiddleInitial,AddressLine2,0.0,0
33,"1, comaInst",MiddleInitial,Country,0.0,0
34,"1, comaInst",MiddleInitial,NumberCars,0.0,0
35,"1, comaInst",MiddleInitial,CreditRating,0.0,0
36,"1, comaInst",MiddleInitial,OwnOrRentFlag,0.0,0
37,"1, comaInst",MiddleInitial,NumberCreditCards,0.0,0
38,"1, comaInst",AddressLine1,AgencyID,0.0,0
39,"1, comaInst",AddressLine1,MiddleInitial,0.0,0
40,"1, comaInst",AddressLine1,AddressLine1,0.74623847,1
41,"1, comaInst",AddressLine1,MaritalStatus,0.0,0
42,"1, comaInst",AddressLine1,NetWorth,0.0,0
43,"1, comaInst",AddressLine1,LastName,0.0,0
44,"1, comaInst",AddressLine1,FirstName,0.0,0
45,"1, comaInst",AddressLine1,Employer,0.0,0
46,"1, comaInst",AddressLine1,Age,0.0,0
47,"1, comaInst",AddressLine1,NumberChildren,0.0,0
48,"1, comaInst",AddressLine1,PostalCode,0.0,0
49,"1, comaInst",AddressLine1,Gender,0.0,0
50,"1, comaInst",AddressLine1,Income,0.0,0
51,"1, comaInst",AddressLine1,AddressLine2,0.0,0
52,"1, comaInst",AddressLine1,Country,0.0,0
53,"1, comaInst",AddressLine1,NumberCars,0.0,0
54,"1, comaInst",AddressLine1,CreditRating,0.0,0
55,"1, comaInst",AddressLine1,OwnOrRentFlag,0.0,0
56,"1, comaInst",AddressLine1,NumberCreditCards,0.0,0
57,"1, comaInst",MaritalStatus,AgencyID,0.0,0
58,"1, comaInst",MaritalStatus,MiddleInitial,0.0,0
59,"1, comaInst",MaritalStatus,AddressLine1,0.0,0
60,"1, comaInst",MaritalStatus,MaritalStatus,0.9473254,1
61,"1, comaInst",MaritalStatus,NetWorth,0.0,0
62,"1, comaInst",MaritalStatus,LastName,0.0,0
63,"1, comaInst",MaritalStatus,FirstName,0.0,0
64,"1, comaInst",MaritalStatus,Employer,0.0,0
65,"1, comaInst",MaritalStatus,Age,0.0,0
