sourceName,targName,ComaInstResult,ComaInstAdjusted,ComaOpt,ComaOptAdjusted,CupidResult,CupidAdjusted,DistributionBasedResult,DistributionBasedAdjusted,JaccardLevenMatcherResult,JaccardLevenMatcherAdjusted,SimilarityFloodingResult,SimilarityFloodingAdjusted,groundtruth
assay_id,assays_ASSI,0.0,0.0,0.0,0.0,0.7636363636363637,1.0,0.894018512294306,0.0,0.6666666666666666,0.0,0.0738490387472862,0.0,1
assay_id,assays_DOI,0.0,0.0,0.0,0.0,0.6398268398268399,1.0,0.9144419732513054,0.0,0.0939555555555555,0.0,0.0759940737979154,0.0,0
assay_id,assays_Des,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.624,0.0,0.07560650564561,0.0,0
assay_id,assays_ASTY,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.0003555555555555,0.0,0.0734614705949807,0.0,0
assay_id,assays_ASSTET,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.0002666666666666,0.0,0.0697842676510449,0.0,0
assay_id,assays_ASSCATE,0.0,0.0,0.0,0.0,0.0399999999999999,1.0,0.0,0.0,0.0,0.0,0.0682998464254262,0.0,0
assay_id,assays_ASSOR,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.0026666666666666,0.0,0.0715309390494144,0.0,0
assay_id,assays_ASSTAI,0.0,0.0,0.0,0.0,0.05,1.0,0.0,0.0,0.0026666666666666,0.0,0.0699143948116701,0.0,0
assay_id,assays_ASSSTR,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,8.888888888888889e-05,0.0,0.0697842676510449,0.0,0
assay_id,assays_ASSTIS,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.0036444444444444,0.0,0.0697842676510449,0.0,0
assay_id,assays_ASCETY,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.0001777777777777,0.0,0.0697842676510449,0.0,0
assay_id,assays_ASSUBCELFR,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,8.888888888888889e-05,0.0,0.0641949191762625,0.0,0
assay_id,assays_T,0.0,0.0,0.4791208,0.0,0.6848484848484848,1.0,0.0,0.0,0.0022222222222222,0.0,0.0810885320431598,0.0,0
assay_id,assays_RELTY,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.0003555555555555,0.0,0.0715309390494144,0.0,0
assay_id,assays_CONFSCO,0.0,0.0,0.0,0.0,0.5969696969696969,1.0,0.0,0.0,0.0003555555555555,0.0,0.0685839527139235,0.0,0
assay_id,assays_CURB,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.0002666666666666,0.0,0.0734614705949807,0.0,0
assay_id,assays_SI,0.46769518,0.0,0.0,0.0,0.7260606060606061,1.0,0.0,0.0,8.888888888888889e-05,0.0,0.0783914659133245,0.0,0
assay_id,assays_SASI,0.0,0.0,0.0,0.0,0.0399999999999999,1.0,0.0,0.0,0.0,0.0,0.0735649324587888,0.0,0
assay_id,assays_CHI,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.6666666666666666,0.0,0.07560650564561,0.0,0
assay_id,assays_CI,0.0,0.0,0.0,0.0,0.05,1.0,0.8323893355497565,1.0,0.0001777777777777,0.0,0.0781340249216443,0.0,0
assay_id,assays_BFOR,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.0007111111111111,0.0,0.0734614705949807,0.0,0
assay_id,assays_TISI,0.0,0.0,0.0,0.0,0.05,1.0,0.81617295409624,0.0,0.0035555555555555,0.0,0.0735915977556059,0.0,0
assay_id,assays_VARII,0.0,0.0,0.0,0.0,0.0399999999999999,1.0,0.0,0.0,0.0,0.0,0.0716344009132225,0.0,0
doc_id,assays_ASSI,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.8554130982929926,0.0,0.2857333333333333,0.0,0.0424305841821875,0.0,0
doc_id,assays_DOI,0.0,0.0,0.0,0.0,0.6073260073260074,1.0,0.9341042334766976,1.0,0.4932337844143724,0.0,0.0428800952038267,0.0,1
doc_id,assays_Des,0.0,0.0,0.0,0.0,0.02,1.0,0.0,0.0,0.3052706552706553,0.0,0.0424925270515212,0.0,0
